name,label,family,test_rmse,test_mae,test_r2,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
ridge,Ridge,Linéaire,0.09360961453326119,0.07579639028351651,-0.0038841250650789583,0.09295449286361279,0.0009814980603301937,-0.010969689328635124,0.007692246099339464
gradient_boosting,Gradient Boosting,Boosting,0.0941247926441657,0.07622872555413775,-0.014964231969260888,0.09314383349506991,0.0011044980840743382,-0.01505552654363368,0.0066813983182608516
random_forest,Random Forest,Ensemble arbres,0.09458894706125982,0.07670919087183309,-0.024999031054457443,0.09329979802011189,0.0009250389000497436,-0.01850170078282093,0.006750442208248282
mlp_regressor,MLP Regressor,Deep Learning,0.10072022424394927,0.08165731473284682,-0.16218707384258835,0.09959784950121041,0.001020922692344792,-0.16064683135369895,0.008675908781317035
