name,label,family,test_rmse,test_mae,test_r2,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
random_forest,Random Forest,Ensemble arbres,3.8528675333981863,1.841809226077242,0.9143087707857265,3.3078785385135943,0.14616488636618405,0.9356141631329281,0.0039850565208071394
gradient_boosting,Gradient Boosting,Boosting,4.072970847437433,2.0670879462994827,0.9042385263754573,3.4370756463173326,0.21740468819300576,0.9305438369435127,0.005510024694589701
mlp_regressor,MLP Regressor,Deep Learning,5.45386873441489,3.086945501808843,0.8282971201469707,6.267113025503106,0.17786877754729366,0.7685993561463174,0.0148701483494001
ridge,Ridge,Linéaire,9.006805480442843,6.445754778493382,0.5317154987956056,8.863969346423158,0.2106304964325358,0.5371347337664106,0.027486996065934147
