name,label,family,threshold,cv_fit_time_mean,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_precision_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_true_negative,test_false_positive,test_false_negative,test_true_positive
gradient_boosting,Gradient Boosting,Boosting,0.4467897018091762,7.454019367694855,0.7959305727372106,0.013539529433585882,0.2865331735786859,0.011022374617543698,0.37954596402007257,0.012664639921209773,0.7282759445241511,0.2566615557562171,0.7295,0.24737631184407796,0.8088235294117647,0.3788748564867968,0.8059140137123891,0.30566423460337955,1294,502,39,165
random_forest,Random Forest,Ensemble arbres,0.17833834722559075,1.1930075287818909,0.8012493585621403,0.009523881740950431,0.28187818528963454,0.01306842191392335,0.004761904761904762,0.008247860988423226,0.0024390243902439024,0.1,0.737,0.2545731707317073,0.8186274509803921,0.3883720930232558,0.8053408445783657,0.29774682107260936,1307,489,37,167
logistic_regression,Logistic Regression,Baseline interpretable,0.5804531145655037,0.06521403789520264,0.729949744966688,0.015395025124836533,0.23784488346732413,0.017357088575068028,0.3007079785000855,0.012748121010242745,0.6560796269727404,0.19506535728505717,0.766,0.21794871794871795,0.5,0.30357142857142855,0.7290547622166909,0.24299893018748112,1430,366,102,102
mlp_classifier,MLP Classifier,Deep Learning,0.03484396974946702,3.6963820457458496,0.6729494680258944,0.017403013810646586,0.2002103376939067,0.019995375875669172,0.22524069226321236,0.023133863075136332,0.21540530846484934,0.23704798602773547,0.778,0.21830985915492956,0.45588235294117646,0.29523809523809524,0.6997549019607843,0.19516293668717305,1463,333,111,93
